"tienda","categoria","sub_categoria","nombre","precio","fecha","precio_num","grupo"
"Farmacorp","abarrotes","infusiones te cafe y otros","Hindu Ice Tea Light Te Frio Limón X 300G","Bs66,80",2025-06-12,66.8,"1"
"Farmacorp","abarrotes","infusiones te cafe y otros","Bitaco Te Frutal Berry Blush X 10 Unidades","Bs83,40",2025-06-12,83.4,"1"
"Farmacorp","abarrotes","snacks y confiteria","Chocolike Instantáneo X 400G","Ahora Bs26,40",2025-06-12,26.4,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 3 L","Ahora Bs18,00",2025-06-12,18,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 3 L","Ahora Bs9,00",2025-06-12,9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 6 L","Ahora Bs20,00",2025-06-12,20,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azúcar X 2 L","Ahora Bs12,00",2025-06-12,12,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Con Gas X 2 L","Ahora Bs8,00",2025-06-12,8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azucar X 3 L","Ahora Bs16,00",2025-06-12,16,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 500Ml","Ahora Bs6,00",2025-06-12,6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 2 L","Ahora Bs8,00",2025-06-12,8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 300Ml","Ahora Bs3,00",2025-06-12,3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pilfrut Sabor A Manzana X 800Ml","Ahora Bs6,20",2025-06-12,6.2,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 990Ml","Ahora Bs6,50",2025-06-12,6.5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Con Gas X 600Ml","Ahora Bs5,00",2025-06-12,5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Del Valle Fresh Naranja X 3 L","Ahora Bs17,00",2025-06-12,17,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Ades Soya Manzana Sin Gluten X 1 L","Ahora Bs13,00",2025-06-12,13,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Sprite Sin Azucar Lima Limon X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 3 L","Ahora Bs13,80",2025-06-12,13.8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pil Juguito Manzana X 150Ml","Ahora Bs2,30",2025-06-12,2.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi Black 3 Lt Paquete X 6 Unidades","Ahora Bs12,10",2025-06-12,12.1,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azúcar X 500Ml","Ahora Bs6,00",2025-06-12,6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azucar X 300Ml","Ahora Bs3,00",2025-06-12,3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua De Mesa Farmacorp X 600Ml","Ahora Bs4,50",2025-06-12,4.5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Sprite Lima Limon X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Guarana Antarctica Energizante X 2 L","Ahora Bs12,60",2025-06-12,12.6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 3 L","Ahora Bs18,00",2025-06-12,18,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 3 L","Ahora Bs9,00",2025-06-12,9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 6 L","Ahora Bs20,00",2025-06-12,20,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azúcar X 2 L","Ahora Bs12,00",2025-06-12,12,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Con Gas X 2 L","Ahora Bs8,00",2025-06-12,8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azucar X 3 L","Ahora Bs16,00",2025-06-12,16,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 500Ml","Ahora Bs6,00",2025-06-12,6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 2 L","Ahora Bs8,00",2025-06-12,8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 300Ml","Ahora Bs3,00",2025-06-12,3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pilfrut Sabor A Manzana X 800Ml","Ahora Bs6,20",2025-06-12,6.2,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 990Ml","Ahora Bs6,50",2025-06-12,6.5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Con Gas X 600Ml","Ahora Bs5,00",2025-06-12,5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Del Valle Fresh Naranja X 3 L","Ahora Bs17,00",2025-06-12,17,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Ades Soya Manzana Sin Gluten X 1 L","Ahora Bs13,00",2025-06-12,13,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Sprite Sin Azucar Lima Limon X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 3 L","Ahora Bs13,80",2025-06-12,13.8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pil Juguito Manzana X 150Ml","Ahora Bs2,30",2025-06-12,2.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi Black 3 Lt Paquete X 6 Unidades","Ahora Bs12,10",2025-06-12,12.1,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azúcar X 500Ml","Ahora Bs6,00",2025-06-12,6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azucar X 300Ml","Ahora Bs3,00",2025-06-12,3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua De Mesa Farmacorp X 600Ml","Ahora Bs4,50",2025-06-12,4.5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Sprite Lima Limon X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Guarana Antarctica Energizante X 2 L","Ahora Bs12,60",2025-06-12,12.6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua De Mesa Farmacorp Con Gas X 1750Ml","Ahora Bs7,30",2025-06-12,7.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Aquarius Jugo Sabor Pera X 3 L","Ahora Bs17,00",2025-06-12,17,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 2 L","Ahora Bs10,00",2025-06-12,10,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Soy Leche De Soya Sabor A Banana X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 1 L","Ahora Bs5,60",2025-06-12,5.6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Soy Leche De Soya Chocolate X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 500Ml","Ahora Bs4,90",2025-06-12,4.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 600Ml","Ahora Bs5,00",2025-06-12,5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","7Up X 2 L","Ahora Bs10,20",2025-06-12,10.2,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua De Mesa Farmacorp Sin Gas X 1.750Ml","Ahora Bs7,30",2025-06-12,7.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pil Juguito Durazno X 150Ml","Ahora Bs2,30",2025-06-12,2.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Ades Soya Durazno Sin Gluten X 1 L","Ahora Bs13,00",2025-06-12,13,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 3 L","Ahora Bs18,00",2025-06-12,18,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 3 L","Ahora Bs9,00",2025-06-12,9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 6 L","Ahora Bs20,00",2025-06-12,20,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azúcar X 2 L","Ahora Bs12,00",2025-06-12,12,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Con Gas X 2 L","Ahora Bs8,00",2025-06-12,8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azucar X 3 L","Ahora Bs16,00",2025-06-12,16,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 500Ml","Ahora Bs6,00",2025-06-12,6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 2 L","Ahora Bs8,00",2025-06-12,8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola X 300Ml","Ahora Bs3,00",2025-06-12,3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pilfrut Sabor A Manzana X 800Ml","Ahora Bs6,20",2025-06-12,6.2,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 990Ml","Ahora Bs6,50",2025-06-12,6.5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Con Gas X 600Ml","Ahora Bs5,00",2025-06-12,5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Del Valle Fresh Naranja X 3 L","Ahora Bs17,00",2025-06-12,17,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Ades Soya Manzana Sin Gluten X 1 L","Ahora Bs13,00",2025-06-12,13,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Sprite Sin Azucar Lima Limon X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 3 L","Ahora Bs13,80",2025-06-12,13.8,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pil Juguito Manzana X 150Ml","Ahora Bs2,30",2025-06-12,2.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi Black 3 Lt Paquete X 6 Unidades","Ahora Bs12,10",2025-06-12,12.1,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azúcar X 500Ml","Ahora Bs6,00",2025-06-12,6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Coca Cola Sin Azucar X 300Ml","Ahora Bs3,00",2025-06-12,3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua De Mesa Farmacorp X 600Ml","Ahora Bs4,50",2025-06-12,4.5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Sprite Lima Limon X 2 L","Ahora Bs14,00",2025-06-12,14,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Guarana Antarctica Energizante X 2 L","Ahora Bs12,60",2025-06-12,12.6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua De Mesa Farmacorp Con Gas X 1750Ml","Ahora Bs7,30",2025-06-12,7.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Aquarius Jugo Sabor Pera X 3 L","Ahora Bs17,00",2025-06-12,17,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 2 L","Ahora Bs10,00",2025-06-12,10,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Soy Leche De Soya Sabor A Banana X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 1 L","Ahora Bs5,60",2025-06-12,5.6,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Soy Leche De Soya Chocolate X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi X 500Ml","Ahora Bs4,90",2025-06-12,4.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua Vital Sin Gas X 600Ml","Ahora Bs5,00",2025-06-12,5,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","7Up X 2 L","Ahora Bs10,20",2025-06-12,10.2,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Agua De Mesa Farmacorp Sin Gas X 1.750Ml","Ahora Bs7,30",2025-06-12,7.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pil Juguito Durazno X 150Ml","Ahora Bs2,30",2025-06-12,2.3,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Ades Soya Durazno Sin Gluten X 1 L","Ahora Bs13,00",2025-06-12,13,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Aquarius Jugo Sabor Pomelo X 3 L","Ahora Bs17,00",2025-06-12,17,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Del Valle Manzana X 3 L","Ahora Bs18,00",2025-06-12,18,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pilfrut Bolsa Sabor A Durazno X 800Ml","Ahora Bs6,20",2025-06-12,6.2,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Soy Leche De Soya Sabor A Frutilla X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pepsi Black X 500 Ml","Bs5,10",2025-06-12,5.1,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","7Up X 3 L","Ahora Bs13,90",2025-06-12,13.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Guaraná Antárctica Bebida X 3 L","Ahora Bs16,90",2025-06-12,16.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","H2oh Limoneto Agua Sabor Limon X 2 L","Ahora Bs12,00",2025-06-12,12,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Pura Vida Nectar Frutss Durazno X 3 L","Ahora Bs18,00",2025-06-12,18,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Del Valle Durazno X 1 L","Ahora Bs12,00",2025-06-12,12,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Soy Leche De Soya Vainilla X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","bebidas","agua jugos y gaseosas","Sprite Original Lima Limón X 3 L","Ahora Bs18,00",2025-06-12,18,"1"
"Farmacorp","lacteos","leches","Alimento Milo de malta y cocoa x 250 g","Ahora Bs23,40",2025-06-12,23.4,"1"
"Farmacorp","lacteos","leches","Chiqui Choc Leche Saborizada X 140Ml","Ahora Bs2,20",2025-06-12,2.2,"1"
"Farmacorp","lacteos","leches","Chiqui Frutilla Leche Saborizada X 170Ml","Ahora Bs2,20",2025-06-12,2.2,"1"
"Farmacorp","lacteos","leches","Pil Instantánea Entera X 1800G","Bs206,90",2025-06-12,206.9,"3"
"Farmacorp","lacteos","leches","Pil Instantánea Entera X 2500G","Bs282,80",2025-06-12,282.8,"2"
"Farmacorp","lacteos","leches","Pil Leche Con Avena Sabor A Canela X 140Ml","Ahora Bs2,10",2025-06-12,2.1,"1"
"Farmacorp","lacteos","leches","Pil Leche Con Avena Sabor A Canela X 800Ml","Ahora Bs9,90",2025-06-12,9.9,"1"
"Farmacorp","lacteos","leches","Pil Leche Con Cafe X 800Ml","Ahora Bs11,00",2025-06-12,11,"1"
"Farmacorp","lacteos","leches","Pil Leche Cremosa 3% Materiagrasa X 1.100Ml","Ahora Bs11,80",2025-06-12,11.8,"1"
"Farmacorp","lacteos","leches","Pil Leche Descremada Calcifen X 800Ml","Bs11,70",2025-06-12,11.7,"1"
"Farmacorp","lacteos","leches","Pil Leche Deslactosada Chocolate X 800Ml","Ahora Bs11,30",2025-06-12,11.3,"1"
"Farmacorp","lacteos","leches","Pil Leche Deslactosada Larga Vida X 800Ml","Ahora Bs10,00",2025-06-12,10,"1"
"Farmacorp","lacteos","leches","Pil Leche Deslactosada Light X 800Ml","Ahora Bs10,90",2025-06-12,10.9,"1"
"Farmacorp","lacteos","leches","Pil Leche En Polvo Entera Deslactosada Polvo X 760G","Ahora Bs89,00",2025-06-12,89,"3"
"Farmacorp","lacteos","leches","Pil Leche En Polvo Instantánea Entera Sachet X 370G","Ahora Bs41,30",2025-06-12,41.3,"1"
"Farmacorp","lacteos","leches","Pil Leche En Polvo Instantánea Entera Sachet X 760G","Ahora Bs80,30",2025-06-12,80.3,"1"
"Farmacorp","lacteos","leches","Pil Leche Light Caja X 946Ml","Ahora Bs14,10",2025-06-12,14.1,"1"
"Farmacorp","lacteos","leches","Pil Leche Light Larga Vida X 946Ml","Ahora Bs9,90",2025-06-12,9.9,"1"
"Farmacorp","lacteos","leches","Pil Leche Natural Tetra X 1 L","Ahora Bs12,70",2025-06-12,12.7,"1"
"Farmacorp","lacteos","leche soya","Soy Leche De Soya Sabor A Banana X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","lacteos","leche soya","Soy Leche De Soya Chocolate X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","lacteos","leche soya","Soy Leche De Soya Sabor A Frutilla X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","lacteos","leche soya","Soy Leche De Soya Vainilla X 946Ml","Ahora Bs7,90",2025-06-12,7.9,"1"
"Farmacorp","lacteos","leche soya","Soy Leche De Soya Natural X 946Ml","Ahora Bs5,80",2025-06-12,5.8,"1"
"Farmacorp","lacteos","mantequilla","Margarina Regia Mantequilla Vaso X 215G","Ahora Bs17,40",2025-06-12,17.4,"1"
"Farmacorp","lacteos","mantequilla","Margarina Regia Mantequilla X 425G","Ahora Bs24,40",2025-06-12,24.4,"1"
"Farmacorp","lacteos","mantequilla","Margarina Reyna Mantequilla X 215G","Bs12,00",2025-06-12,12,"1"
"Farmacorp","lacteos","mantequilla","Pil Mantequilla Pasteurizada Con Sal X 100G","Ahora Bs12,41",2025-06-12,12.41,"1"
"Farmacorp","lacteos","mantequilla","Pil Mantequilla Pasteurizada Con Sal X 200G","Ahora Bs22,69",2025-06-12,22.69,"1"
"Farmacorp","lacteos","mantequilla","Pil Mantequilla Pasteurizada Sin Sal X 200G","Ahora Bs22,69",2025-06-12,22.69,"1"
"Farmacorp","lacteos","mantequilla","Regia Margarina Light X 425G","Ahora Bs25,40",2025-06-12,25.4,"1"
"Farmacorp","lacteos","yogurt","Biogurt Probiotico Durazno X 200Ml","Ahora Bs5,70",2025-06-12,5.7,"1"
"Farmacorp","lacteos","yogurt","Biogurt Probiótico Frutilla X 200Ml","Ahora Bs5,70",2025-06-12,5.7,"1"
"Farmacorp","lacteos","yogurt","Greco Yogurt Griego Natural Bolsa X 1Kg","Ahora Bs25,00",2025-06-12,25,"1"
"Farmacorp","lacteos","yogurt","Pil Greco Yogurt Natural X 160G","Ahora Bs7,50",2025-06-12,7.5,"1"
"Farmacorp","lacteos","yogurt","Pil Yogurt Batidito Frutado Frutilla Durazno Y Coco X 90G","Ahora Bs2,20",2025-06-12,2.2,"1"
"Farmacorp","lacteos","yogurt","Pil Yogurt Bebible Sabor A Durazno Bolsa X 1 L","Ahora Bs17,00",2025-06-12,17,"1"
"Farmacorp","lacteos","yogurt","Pil Yogurt Bebible Sabor A Frutilla X 1 L","Ahora Bs17,00",2025-06-12,17,"1"
"Farmacorp","lacteos","yogurt","Pil Yogurt Botella Natural X 1 L","Ahora Bs19,30",2025-06-12,19.3,"1"
